nome,latitude,longitude
Doce Paladar,-16.31493621476556,-48.96021224051252
Favoritta Panificadora,-16.33504452264882,-48.91849044703452
Graci Falcão Doceria,-16.32479520684391,-48.94039320470611
Perdomo Doces - Supermercado Rio Vermelho,-16.32888860316995,-48.9467872047059
Cafeteria Com Café,-16.294842597231508,-48.958900933542644
Jardim Secreto Cafe,-16.336930293072935,-48.9428507047057
Eldorado Sabores,-16.345905279542833,-48.946755604705466
Doçuras da Thalita,-16.291302876452924,-48.96846434703583
Bistrô do Papito,-16.302048094463412,-48.96311863354229
Bendito Espresso,-16.33487039285767,-48.94531800470579
Café S/A Anápolis,-16.33072910449988,-48.947001720048576
Kikas Cake Confeitaria,-16.28466338281647,-48.97249106237848
Nubia Camilo Boulangerie,-16.335053601381652,-48.94210400470578
Doce Delícia,-16.330460396500722,-48.94734791635093
Rosa Café,-16.333211082179595,-48.93725923539101
