origem,destino,distancia_metros
Café S/A Anápolis,Doce Delícia,86.02
Jardim Secreto Cafe,Nubia Camilo Boulangerie,229.87
Perdomo Doces - Supermercado Rio Vermelho,Doce Delícia,305.09
Bendito Espresso,Nubia Camilo Boulangerie,425.46
Bendito Espresso,Café S/A Anápolis,478.32
Nubia Camilo Boulangerie,Rosa Café,768.24
Doçuras da Thalita,Kikas Cake Confeitaria,1045.01
Graci Falcão Doceria,Perdomo Doces - Supermercado Rio Vermelho,1222.99
Doçuras da Thalita,Bistrô do Papito,1371.83
Cafeteria Com Café,Bistrô do Papito,1467.42
Jardim Secreto Cafe,Eldorado Sabores,1530.74
Doce Paladar,Bistrô do Papito,1893.09
Doce Paladar,Doce Delícia,2685.87
Favoritta Panificadora,Rosa Café,3173.24
