,Doce Paladar,Favoritta Panificadora,Graci Falcão Doceria,Perdomo Doces - Supermercado Rio Vermelho,Cafeteria Com Café,Jardim Secreto Cafe,Eldorado Sabores,Doçuras da Thalita,Bistrô do Papito,Bendito Espresso,Café S/A Anápolis,Kikas Cake Confeitaria,Nubia Camilo Boulangerie,Doce Delícia,Rosa Café
Doce Paladar,0.0,6213.751907803192,3045.3378569900788,2819.5408719909287,3389.6898991444928,3768.175400619635,4153.383416494391,3304.2749968074745,1893.0866321306778,3195.6686656452152,2771.89760932868,4107.800250091634,3621.125340036154,2685.8741051554466,4133.907429311001
Favoritta Panificadora,6213.751907803192,0.0,3428.7966674977997,4346.044741379746,8341.30011515448,3799.9989454417437,4137.820965720601,8924.04574533986,7335.812451106934,4201.95327914587,4428.799161450034,9727.570998624018,4029.8654886094687,4514.822665623267,3173.240960752524
Graci Falcão Doceria,3045.3378569900788,3428.7966674977997,0.0,1222.9885413091145,5229.646780433163,2254.558232388725,3219.1997843569443,5812.392410618538,4224.159116385611,1692.0754165766996,1305.7429613794027,6615.9176639026955,2009.3469645688265,1391.766465552636,1562.4074330254462
Perdomo Doces - Supermercado Rio Vermelho,2819.5408719909287,4346.044741379746,1222.9885413091145,0.0,5250.375468009884,1387.3903540996232,2132.5223774397423,5503.433371386625,3915.2000771536973,814.8836191252026,391.11256280866655,6306.958624670783,1240.340293516141,305.0890586354332,1594.306908714092
Cafeteria Com Café,3389.6898991444928,8341.30011515448,5229.646780433163,5250.375468009884,0.0,5989.993633044067,6579.799359315227,1594.4954584870939,1467.424881986925,5417.4868980696465,4993.715841753109,2398.0207117712516,5842.9435724605855,4907.692337579876,6328.455898884321
Jardim Secreto Cafe,3768.175400619635,3799.9989454417437,2254.558232388725,1387.3903540996232,5989.993633044067,0.0,1530.7444518721015,6682.796600336539,5094.563306103612,566.5902726777674,1044.908851869825,7486.321853620697,229.86654316772479,1130.9323560430582,998.1044455017573
Eldorado Sabores,4153.383416494391,4137.820965720601,3219.1997843569443,2132.5223774397423,6579.799359315227,1530.7444518721015,0.0,7581.022105987149,5992.7888117542225,2028.211257074728,2350.1194901428407,8384.547359271308,2078.0733874237144,2264.095985969607,2578.6253186363065
Doçuras da Thalita,3304.2749968074745,8924.04574533986,5812.392410618538,5503.433371386625,1594.4954584870939,6682.796600336539,7581.022105987149,0.0,1371.82566093767,5796.4274939032985,5372.656437586761,1045.0079736431649,6221.8841682942375,5286.632933413528,6707.396494717973
Bistrô do Papito,1893.0866321306778,7335.812451106934,4224.159116385611,3915.2000771536973,1467.424881986925,5094.563306103612,5992.7888117542225,1371.82566093767,0.0,4451.016819952027,4027.245763635491,2391.758547517085,4876.473494342966,3941.2222594622576,5361.985820766703
Bendito Espresso,3195.6686656452152,4201.95327914587,1692.0754165766996,814.8836191252026,5417.4868980696465,566.5902726777674,2028.211257074728,5796.4274939032985,4451.016819952027,0.0,478.3185791920576,6919.731580942929,425.4566743909385,564.3420833652909,1027.0627776809802
Café S/A Anápolis,2771.89760932868,4428.799161450034,1305.7429613794027,391.11256280866655,4993.715841753109,1044.908851869825,2350.1194901428407,5372.656437586761,4027.245763635491,478.3185791920576,0.0,6517.062925369601,903.7752535829959,86.02350417323336,1505.3813568730375
Kikas Cake Confeitaria,4107.800250091634,9727.570998624018,6615.9176639026955,6306.958624670783,2398.0207117712516,7486.321853620697,8384.547359271308,1045.0079736431649,2391.758547517085,6919.731580942929,6517.062925369601,0.0,7232.460388103342,6297.209153222632,7717.972714527077
Nubia Camilo Boulangerie,3621.125340036154,4029.8654886094687,2009.3469645688265,1240.340293516141,5842.9435724605855,229.86654316772479,2078.0733874237144,6221.8841682942375,4876.473494342966,425.4566743909385,903.7752535829959,7232.460388103342,0.0,994.1556279172216,768.2379023340325
Doce Delícia,2685.8741051554466,4514.822665623267,1391.766465552636,305.0890586354332,4907.692337579876,1130.9323560430582,2264.095985969607,5286.632933413528,3941.2222594622576,564.3420833652909,86.02350417323336,6297.209153222632,994.1556279172216,0.0,1591.404861046271
Rosa Café,4133.907429311001,3173.240960752524,1562.4074330254462,1594.306908714092,6328.455898884321,998.1044455017573,2578.6253186363065,6707.396494717973,5361.985820766703,1027.0627776809802,1505.3813568730375,7717.972714527077,768.2379023340325,1591.404861046271,0.0
